,,count,mean,std,min,25%,50%,75%,max
India,Estimated Unemployment Rate (%),740.0,11.787945945945946,10.721298373157786,0.0,4.657500000000001,8.35,15.887500000000001,76.74
Upto_2020,Estimated Unemployment Rate (%),267.0,12.236928838951311,10.803283384503736,0.5,4.845,9.65,16.755,75.85
